"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63"
"1,6-Anhydro-beta-D-glucose",-1.49865400350816,-0.197541255401935,0.148723491262758,0.422710709564896,0.183899739072506,-0.111192891628444,0.00566700023569055,0.162388991202542,0.0778655651345813,0.187683596875576,0.0221679958690201,0.0196087755225766,0.119952408874291,-0.0850352117262306,-0.00830267953238272,-0.0352721874852677,0.17291957758392,-0.237565870625165,-0.143469583702407,0.109079179559455,-0.133432073363096,0.00701607948262183,-0.0642983326701638,0.179423170645416,-0.173545057233799,-0.0219537572374097,-0.0932951115659624,0.194171151223933,-0.0216911399202194,0.00918784059894781,0.061579717429992,0.0346580271865073,0.0221339476259955,-0.0135108196817284,0.00587406669842849,-0.00701579467675596,-0.0330777938178637,-0.0129102446027547,0.0337407981633745,-0.0130466044226157,-0.018674279252956,0.000106585764946164,0.00513240305792722,0.00910582442499633,-0.000503251438399422,-0.00606810525714819,0.00330649415213145,-0.00200320017302726,0.00406989357950742,0.005035924342714,0.00538509384688495,0.000403840714313587,-0.000587607691511006,0.000830003995036913,0.000554168424274115,-0.000789350446130252,0.000541753110678507,0.000152182444790514,4.92349935228772e-05,-0.00019445061276128,2.55196434699855e-05,4.47467959074285e-05,1.09634523681734e-15
"1-Methylnicotinamide",-1.79677514929854,0.0657505976632307,0.134921508153844,0.136581225255454,0.0128313662989412,0.23129066929959,0.0346300991421226,-0.0405486627066367,0.123319923629093,-0.0357079905862481,0.0410614782670277,-0.0445893195080515,-0.0291184942770822,-0.108714457440401,-0.118252158707754,-0.072063624990472,-0.0761016097438348,0.000353858502317176,-0.246781354159681,-0.0687053608242834,0.111197981451286,0.23608139153115,-0.115019668238826,-0.1367010734449,0.0774148122077357,-0.0184600316246185,0.0590836034875357,0.109960511580275,-0.119404527500245,-0.0441182941228856,-0.0196932770833393,-0.0320079416621038,0.0327746182101096,-0.0427137725457101,0.00943710404276512,0.0536049521209179,0.0119079775801942,-0.00658725849817481,0.013651552024426,0.0248765428629643,-0.000736326977807053,0.0171174709562366,-0.0226403636541063,-0.00727137822125319,-0.0121137489179996,-0.0113888088095028,-0.0111464647507516,-0.0030921535318048,0.00418809336210046,-0.000802830119974257,-0.000817035334863403,0.00370071431037025,-0.00250186038840467,-3.94862949826269e-06,-0.000727133719842319,0.00147497737109255,-6.03285380013294e-05,0.000557724202675493,-0.000418865526847861,0.00032776939898338,0.000222298532834314,-2.31354139671319e-05,-8.32667268468867e-17
"2-Aminobutyrate",-2.1302131613155,-0.1073885173511,0.163867231109038,0.222697773257933,0.0299161166474003,0.138565069924485,0.0452776678116005,0.0167064800673555,0.0953289007646211,-0.0279929680735272,-0.0331700608861605,-0.0443099307417351,-0.0362412410901557,-0.0188187362480386,-0.0089746740826215,-0.0156778327597358,-0.0403796237817256,-0.0289915309089455,-0.00586510570061699,-0.00893290647923332,-0.00309538969895114,-0.0276503261826006,-0.0305211274547522,0.00328584688530483,-0.0433802347078455,0.0327539670985687,-0.00363324446107435,0.0159828264591405,0.0421121315509927,0.0137104472325074,-0.0226830724491057,-0.0113353846530032,0.0216126519628686,0.00397661827927978,0.00332783507339971,0.0121965975055063,0.0289588379073107,-0.000328467462457546,-0.0119304280624927,0.00175905049237194,0.00707429277597658,-0.00302367466876354,0.00384105373006443,-0.0140634918001384,0.0242020895788212,0.0485128804617434,-0.00192256736917552,-0.00136132557349764,0.0300739322914948,0.0201915525212394,-0.00170033527465478,0.00765735195745843,-0.000748022433912916,-0.00244653723217405,-0.000631622444862312,0.000721767598486245,-0.00248333924461917,0.00278609495151914,-0.00110527389400884,0.000576913849485309,0.000716063791670472,-0.000288557642658741,3.46944695195361e-16
"2-Hydroxyisobutyrate",-1.99255507855165,-0.092843389284864,0.139797712354103,0.208817822489226,0.0352853826770773,0.135956270292533,0.0585094783528969,0.0297915430607452,0.0556888252429484,-0.0357057981008778,-0.0202834341060999,-0.0441190677527048,-0.0119112200168802,-0.0139284482181009,-0.0454116850239221,-0.0430863908941944,0.00648082145259364,-0.0106057608825372,-0.0164970960109063,-0.00150407422157868,-0.0157379701734958,0.00686702455369689,-0.0035077602355239,0.0223582804082617,-0.0250341725417684,-0.00401722760403518,0.0119792497814319,-0.0190485532443401,0.0228921628055413,0.0309199102212002,-0.00665857578014607,0.0192252808216482,-0.00856575929436304,-0.00274012484671336,-0.00408200042881653,0.0182020463776115,0.0236635059970917,0.0133985639369237,0.00662952702434706,-0.019840344070195,-0.00486891833948966,-0.0051766406035649,0.00936649924087103,-0.011588894497121,-0.017614580574913,0.00143144288163426,-0.0033587519851386,-0.00612146447404906,0.00989677536587708,-0.0176259453462854,-0.000642363063992163,-0.0080863428206926,-0.00259184015716174,0.0092492090851079,-0.0111908792744603,-0.0052008678979862,-0.00112516677532795,-0.0017421164465127,-0.00267174014821745,5.78223716757274e-05,0.000386366558919049,-0.00111826301869294,-1.11022302462516e-16
"2-Oxoglutarate",-1.54699604730326,-0.219508992773672,0.159077182392797,-0.0511875889989294,0.0617323728502282,0.395710976363933,-0.119991230036492,-0.0285450614612692,0.191450312708686,-0.0614050724654737,-0.344471657656193,-0.176009970765505,-0.656863981891756,-0.102241951344501,0.353261517703373,0.136692815925321,0.152435606082097,0.146188226705238,0.0827961281287932,-0.000183007963590293,-0.189554687599992,0.108966025081035,-0.0212238313180922,0.183916776817365,0.131255041384655,-0.0108971844964476,0.0156491582848051,0.0167164268107412,-0.0658088994550455,0.0108239757987699,0.00983574227297987,-0.0378641517448527,-0.0146760782846942,0.019816990381619,0.019528974829729,0.0107880779296906,-0.0126826986473467,0.00452663585040987,0.00187543415625936,0.0104812156476914,0.00119337390534919,0.000540877625847718,-0.00114980512060792,-0.00401328822028575,-0.000267539659735602,0.00257956931711308,0.000932752593002198,-0.00154133372823365,-0.000695349616434972,0.000129628105834549,-0.0014386262034311,-0.0010290454684698,-0.000691692250173124,-0.000922550086389421,-0.000171606029369938,0.000275338767188868,0.000273980964794168,0.000171608499746387,-0.000113309220964003,0.00010088545299029,0.000179907368435518,-2.9224064922645e-05,-2.08166817117217e-16
"3-Aminoisobutyrate",-1.82598703179154,-0.130411265244807,0.187757812818662,0.232235699955353,0.0564577224412147,-0.124254945575819,-0.00333888158943644,-0.106670508329923,0.093555853455386,-0.0640124132109526,0.102081284833368,0.000175299288701337,-0.166301859284014,0.221469399981047,0.0197347651494408,0.0698559279545573,-0.330775678018134,0.135832773363808,-0.16966655132722,0.194352368232494,-0.0702959853592191,-0.277738956656614,0.0691095992968946,-0.0769546125294214,0.176569678917707,-0.0167161753480032,0.0049675655755133,0.0979400611990382,0.0140149723606137,-0.0282913219034225,0.0625704667298961,0.0309874877789929,0.0644824116629584,0.0292363930331445,0.0110049292654912,0.00700761770728132,-0.0190674342850253,0.00603957590224544,0.0120897223277698,-0.00583174912208931,-0.00744309091857424,-0.00109340283047744,-0.000723532999127994,0.00296281273809752,0.000383799325507686,0.00621740540461212,0.004275809434394,-0.000753414106145787,0.00049246198405401,-0.00288242372528541,0.00336301418447876,-0.00146014488929576,0.000503794868026627,-0.000198014135851729,-0.000117970490628177,-0.000625446531056409,0.000100270083762399,-0.000175580590458996,-3.81849049164301e-06,-0.000112183841677081,-1.93698189501837e-05,-2.61776612218989e-06,-2.15105711021124e-16
"3-Hydroxybutyrate",-2.1176818556126,-0.094728899291609,0.133710374688235,0.214112748301955,0.0425353053859846,0.135998019924926,0.0667521435055834,0.0250023922355732,0.0748122407209141,-0.011528251868799,-0.0158641928839905,-0.0140332124776295,-0.0492139841365001,-0.0224065802760721,0.00768462792450295,-0.0401344064677993,-0.0279095709225962,-0.0321413071233926,-0.0295598150545577,0.0159581168094731,0.0121163990423508,-0.0265081819770154,-0.0143234637026211,-0.00311364426187975,-0.0122787987918263,0.0172766097755528,0.00325541975876942,-0.00849894521307076,0.0275838599023213,0.00320928667158987,-0.0284543897117167,-0.0114238657551363,-0.0204568249476513,0.000484234221658892,0.01581973342853,0.00640835537575267,-0.00909458813799943,-0.00631126924349689,0.0141042478565235,-0.0212177199510964,0.00664847016706294,-0.00124119071185939,0.00681127897654974,-0.00149847941991336,-0.0168171730728279,0.00340500946962301,-0.00112547323879638,-0.0120862013068201,5.98290140903018e-05,0.0101159758254929,-0.00645448093291036,0.00384887746049753,0.00902343978353748,-0.00679324570217425,-0.00992821930579616,0.00477168370200123,-0.00161397316477343,-0.00717830178335941,0.0034033910689685,0.00106606940288754,-0.000297879794127136,4.69338127960899e-05,4.16333634234434e-17
"3-Hydroxyisovalerate",-2.10964506256626,-0.0685494246011264,0.131604917362145,0.211977909995585,0.0108055672075188,0.130799900461799,0.0569996655664129,0.0236274116779805,0.0705603897222962,-0.0124859884745574,0.0045224646055476,0.00359083706399501,-0.0119770576628369,-0.0313325231406071,-0.0395753810290339,-0.0218391145687554,-0.0338124408433735,-0.0387449952257575,0.00116490951143403,-0.000747424405410833,-0.00733379054580629,0.0158739505102483,-0.0247524474428724,0.00908762714119227,0.00257031021355463,-0.00582217883622062,-0.00830380211327914,-0.0372296057063549,0.0264286978777541,0.00714151644431254,-0.0289073087910236,0.00203067771523472,0.00685711841881671,0.00346123950681971,0.0187988967693087,0.0213421295123877,-0.000671592683671427,0.00971248023660979,0.00731260051182167,-0.016235393725263,0.0214065318662753,-0.00717199881873061,-0.00256762271539353,-0.00315033746007358,-0.0108813352016038,-0.00145156422340136,-0.0165876473602577,-0.0129312116003239,0.00288539840239847,0.00497470875013459,0.0103099541611793,-0.0228038698462835,-0.000150761994572616,0.00464106274527572,0.00714755704288633,0.00115229501484204,-0.00512288664505058,0.00243112323782373,0.00385467029185008,0.000723374162389158,4.51203924299315e-05,5.16318287334568e-05,-6.93889390390723e-17
"3-Indoxylsulfate",-0.673190331261587,-0.0320478035092988,0.124280771861389,0.358940546555678,0.29302235318015,0.184611576563621,0.152029710581841,-0.0581086074939055,0.0272050825612483,0.0639400398541396,0.323624506762759,-0.125570545811613,0.206337487369566,-0.313681912238125,-0.187256644024704,0.316979497010737,-0.0707535290710444,0.435141019837913,0.140786472868301,-0.123845858963233,0.115802805782172,-0.0460560256523838,-0.0664555149694874,0.114283783111751,-0.0714055580750909,0.018799283201185,-0.00680805442584397,0.111589362687141,-0.00623634324216216,-0.0264719110231925,-0.0311366770316188,0.0111150093739388,0.000195995443068755,-0.00365813572874415,0.00481291137434516,-0.0179282949632502,0.00357709727630708,-0.00169738096942269,0.0113327863196237,-0.00813183503784021,-0.0110401217754311,-0.00612492710870292,-0.00053528656603615,0.00582946824415565,-0.00173718465868717,0.00190419394105402,-0.00161848237572366,0.00116294852873623,-0.00434677161809505,0.0019285530971631,-0.000868980731141903,-0.000781729276562974,0.000104301074441496,0.000841362158906424,-0.000541343471945923,-0.000289123638897659,-0.000243924355412699,0.000124671554196515,0.000192031384315991,0.000290914341077948,8.02274141030457e-07,-3.09901747630719e-05,-1.97758476261356e-16
"4-Hydroxyphenylacetate",-1.5156700435366,-0.109420678614325,0.0423670190558943,0.265855417242269,0.193206641221026,0.115041011581164,0.0360435935827334,-0.00217268677519472,0.087082646495476,-0.0256254208930404,0.0409615646960826,-0.0188586736504207,0.157201942459279,-0.167606670514504,0.0336936050512425,-0.0619723593988922,-0.079222257553268,0.0898718483007293,0.0412512646016036,-0.126939496862647,-0.139659315209398,0.062173010209948,0.0659302196277487,-0.0866875922825444,-0.0720877226491934,-0.0858994928115912,-0.0112110377252027,-0.0221840776588611,0.079046560436456,-0.00870322286359368,0.134763906455321,-0.00246502958413341,-0.0782347198806899,0.0343337739274676,-0.00373948871205294,0.0898878927585197,-0.0459849663804548,-0.00732039132431642,-0.00692796932259425,0.00815108059306946,-0.0013285546880394,-0.0193467569844861,-0.0142535197218567,0.00983002178339711,0.0117080084511985,0.00149604279285833,-0.0086350810278344,0.00911951226043411,0.00492066528712914,-0.00754949265838832,-0.000109496097144491,0.00251372106714978,0.00064849250954443,-0.00131631428925081,-0.000476863282741337,0.000507344005598487,-0.000205962880969232,0.000137487225563337,0.000476007182784545,0.000489208958540066,-1.18582503050788e-05,6.23414217729053e-05,-6.24500451351651e-17
