"PC","Varianza_Explicada","Varianza_Acumulada"
"PC1",0.890025503989869,0.890025503989869
"PC2",0.0453013746312821,0.935326878621151
"PC3",0.0266907483345137,0.962017626955665
"PC4",0.0191231238067808,0.981140750762445
"PC5",0.00463492037465678,0.985775671137102
"PC6",0.00361663302021756,0.98939230415732
"PC7",0.00213804036540718,0.991530344522727
"PC8",0.00197329415246616,0.993503638675193
"PC9",0.00158937792022203,0.995093016595415
"PC10",0.00129570022025223,0.996388716815667
"PC11",0.000595258886440063,0.996983975702108
"PC12",0.000432135506006488,0.997416111208114
"PC13",0.000383629654560433,0.997799740862674
"PC14",0.000335459181225152,0.9981352000439
"PC15",0.000277874173770791,0.99841307421767
"PC16",0.000180152008695125,0.998593226226365
"PC17",0.000165682405301198,0.998758908631667
"PC18",0.000150841024929456,0.998909749656596
"PC19",0.000128304624562055,0.999038054281158
"PC20",0.000115450755915566,0.999153505037074
"PC21",0.000110451054540636,0.999263956091614
"PC22",0.000106388129564755,0.999370344221179
"PC23",9.56604333586838e-05,0.999466004654538
"PC24",8.1253404237156e-05,0.999547258058775
"PC25",7.19136871742521e-05,0.999619171745949
"PC26",5.74390883973482e-05,0.999676610834347
"PC27",4.96279572591045e-05,0.999726238791606
"PC28",4.71176147436036e-05,0.999773356406349
"PC29",3.55108687980546e-05,0.999808867275147
"PC30",2.78577044826336e-05,0.99983672497963
"PC31",2.62525130998015e-05,0.99986297749273
"PC32",2.53314828249221e-05,0.999888308975555
"PC33",1.82711380684807e-05,0.999906580113623
"PC34",1.5890095578842e-05,0.999922470209202
"PC35",1.31202478788194e-05,0.999935590457081
"PC36",1.01778645788282e-05,0.99994576832166
"PC37",8.7616743155338e-06,0.999954529995975
"PC38",6.74997767170687e-06,0.999961279973647
"PC39",5.90247721069168e-06,0.999967182450858
"PC40",5.73855523327942e-06,0.999972921006091
"PC41",4.8783252056217e-06,0.999977799331296
"PC42",4.24926092590947e-06,0.999982048592222
"PC43",3.32123522427969e-06,0.999985369827447
"PC44",2.81584002749182e-06,0.999988185667474
"PC45",2.54851302520264e-06,0.999990734180499
"PC46",2.16326562894628e-06,0.999992897446128
"PC47",1.85785365025633e-06,0.999994755299779
"PC48",1.46995561156505e-06,0.99999622525539
"PC49",1.04922790025988e-06,0.99999727448329
"PC50",7.46691723782668e-07,0.999998021175014
"PC51",5.53447233070631e-07,0.999998574622247
"PC52",3.74756243079079e-07,0.99999894937849
"PC53",3.42035463570246e-07,0.999999291413954
"PC54",2.91133389517245e-07,0.999999582547343
"PC55",1.8474016502675e-07,0.999999767287509
"PC56",7.52401770353572e-08,0.999999842527685
"PC57",6.33703010753115e-08,0.999999905897987
"PC58",4.10687014704357e-08,0.999999946966688
"PC59",2.66510707009559e-08,0.999999973617759
"PC60",1.69760724334488e-08,0.999999990593831
"PC61",7.92516941756268e-09,0.999999998519001
"PC62",1.48099948717136e-09,1
"PC63",1.73082309204021e-31,1
